stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
5159,0050,Дорошенка (50),"вул. Дорошенка, 3",49.840237,24.027244
42813,0708,площа Івана Підкови (708),"пр. Свободи, школа №62",49.841856,24.028063
4674,1191,"Малехів, Тараса Дороша (1191)","с. Малехів, вул. Тараса Дороша, 21",49.876874,24.067000
4879,1203,"Малехів, Південна (1203)","с. Малехів, вул. Тараса Дороша, 59",49.877000,24.072375
4967,1205,"Малехів, Нова (1205)","с. Малехів, вул. Тараса Дороша, 93",49.877320,24.078169
45000,1142,"Муроване, Піднивки (1141)","с. Муроване, вул. Січових Стрільців",49.878327,24.083689
45001,,"Муроване, Стадіон (1144)","с. Муроване, вул. Січових Стрільців, 34",49.876692,24.089836
45002,0311,"Муроване, Церква (1146)","с. Муроване, вул. Січових Стрільців, 54",49.875997,24.093806
4710,,"Муроване, Підгребелля (1147)","с. Муроване, вул. Січових Стрільців, 90",49.875348,24.098436
45339,,"Муроване, Підлипи (1150)","с. Муроване, вул. Січових Стрільців, 108",49.874908,24.102502
44084,,"Муроване, Озеро (1152)","с. Муроване, вул. Січових Стрільців, 142",49.874241,24.106708
44164,,"Муроване, Озеро (1151)","с. Муроване, вул. Січових Стрільців, 140",49.874463,24.105903
5141,,"Муроване, Підлипи (1149)","с. Муроване, вул. Січових Стрільців, 108",49.875043,24.102073
44231,,"Муроване, Підгребелля (1148)","с. Муроване, вул. Січових Стрільців, 90",49.875513,24.098184
4673,,"Муроване, Церква (1145)","с. Муроване, вул. Січових Стрільців, 43",49.876108,24.095067
4791,,"Муроване, Стадіон (1143)","с. Муроване, вул. Січових Стрільців, 37",49.876793,24.089810
4837,,"Муроване, Піднивки (1142)","с. Муроване, вул. Січових Стрільців, 3",49.878393,24.083826
4838,1206,"Малехів, Нова (1206)","с. Малехів, вул. Тараса Дороша, 90",49.877252,24.077611
4913,1204,"Малехів, Південна (1204)","с. Малехів, вул. Тараса Дороша, 46",49.877031,24.070374
4709,1192,"Малехів, Тараса Дороша (1192)","с. Малехів, вул. Тараса Дороша, 22",49.876903,24.066721
5160,0051,Дорошенка (51),"вул. Дорошенка, 3",49.840181,24.027075
42771,0043,Головна пошта (43),"вул. Коперника, 40",49.836443,24.022341
5108,0011,Львівська політехніка (11),"вул. Генрала Чупринки, 4",49.834481,24.016210
5111,0488,Київська (488),"вул. Генерала Чупринки, 36",49.832436,24.012133
5112,0489,Фабрика Левинського (489),вул. Генерала Чупринки 64,49.830720,24.008705
4955,0526,Горбачевського (526),вул. Княгині Ольги (перехресті з вул. А.Сахарова),49.826083,24.009300
4956,515,Ісаєвича (515),"вул. Княгині Ольги, 32",49.823010,24.006672
45004,523,Аркаса (523),"вул. Княгині Ольги, 100-Л",49.817325,24.002839
4958,0521,"Бойчука, Кіноцентр (521)","вул. Княгині Ольги, 104",49.812020,23.999918
4687,0483,Володимира Великого (483),вул. Володимира Великого 35,49.809971,24.004725
44234,736,Коледж телекомунікацій (736),"вул. В. Великого, 27",49.809590,24.008761
4688,0480,Янева (480),вул. Володимира Великого 21,49.808856,24.012052
44949,0109,Городоцька-Кільцева (109),"вул. Городоцька, 367",49.821061,23.916695
44950,0108,"Городоцька, Метро (108)","вул. Городоцька, 359",49.821677,23.920106
44951,0107,Азов-Галичина (107),"вул. Городоцька, 357",49.822622,23.925288
44952,0106,Станційна (106),"вул. Городоцька, 355",49.823626,23.930706
4841,,Каховська (116),"вул. Городоцька, 319а",49.827100,23.949187
4842,0169,Ряшівська (169),"вул. Ряшівська (Городоцька, 309)",49.826844,23.954540
4843,0168,ЛОРТА (168),"вул. Ряшівська (вул. Є. Патона, 6)",49.824002,23.955729
4844,0121,Патона (121),"вул. Є. Патона, 31",49.823007,23.961446
4845,120,Залізнична РА (120),"вул. Є. Патона, 7",49.822664,23.965661
4623,,Антоновича (477),"вул. Антоновича, 4",49.825602,23.990461
4624,,Залізняка (476),"вул. Антоновича,77",49.829827,23.998137
4625,,Мельника (475),"вул. Антоновича, 49",49.831671,24.001206
4626,,Бандери (474),"вул. С. Бандери, 11",49.834519,24.006929
44238,70,Собор Святого Юра (70),пл. Святого Юра,49.836931,24.013005
5249,,Устияновича (48),"вул. М. Устияновича, 5",49.836345,24.015968
4914,249,Богдана Котика (249),"вул. Личаківська, 112",49.837304,24.060171
44075,285,Пасічна (285),вул. Пасічна (навпроти № 11),49.834171,24.067872
4924,0279,Таджицька (279),"вул. Пасічна, 42",49.829633,24.069521
45016,0281,Майорівка (281),"вул. Пасічна, 70",49.825977,24.073196
4926,0287,Ярошинської (287),"вул. Пасічна (навпроти вул. Є.Ярошинської, 2)",49.822252,24.075079
5007,,Лисинецька (283),вул. Пасічна 90,49.817974,24.076720
4927,0214,ТЦ Метро-2 (214),вул. Дж. Вашингтона 21,49.814485,24.075991
4928,0215,Перинатальний центр (215),вул. Дж. Вашингтона 5А,49.816146,24.069323
5008,0216,Вашингтона (216),"вул. Дж. Вашингтона (навпроти вул. Зелена, 147)",49.815984,24.062746
4861,0365,Вашингтона (365),"вул. Дж. Вашингтона (вул. Зелена, 147)",49.815921,24.063009
4862,0363,Перинатальний центр (363),"вул. Дж. Вашингтона, 6",49.815714,24.070434
5014,0364,ТЦ Метро-2 (364),"вул. Дж. Вашингтона, 8",49.814447,24.075320
4863,0282,Лисинецька (282),"вул. Пасічна, 85",49.817039,24.077262
4864,0284,Ярошинської (284),"вул. Пасічна (вул. Є. Ярошинської, 2)",49.822568,24.075173
45017,,Майорівка (280),"вул. Пасічна, 59",49.826232,24.072917
45023,734,Ліцей Героїв Крут (734),"вул. Пасічна, 51",49.827823,24.071319
4870,0278,Таджицька (278),"вул. Пасічна, 39",49.830789,24.068508
5100,255,Пасічна (255),"вул. Личаківська, 175",49.836100,24.067231
4872,,Котика (252),"вул. Личаківська, 149",49.837263,24.060879
4945,,Кульпарківська (95),вул. Городоцька 128,49.834412,23.989221
4730,,Народна (96),вул. Городоцька 134,49.833720,23.985279
4831,122,Залізнична РА (122),"вул. Є. Патона, 2",49.822709,23.965157
4832,0119,Патона (119),"вул. Є. Патона, 2",49.823193,23.960516
4833,0167,ЛОРТА (167),"вул. Ряшівська, 7",49.824294,23.956085
4834,0166,Ряшівська (166),"вул. Ряшівська, 1",49.826720,23.954948
4835,0115,Каховська (115),"вул. Городоцька, 236",49.826768,23.946521
4836,0102,Станційна (102),"вул. Городоцька, 282",49.823482,23.928912
44953,0103,Азов-Галичина (103),"вул. Городоцька, 284",49.822646,23.924167
44954,0105,Городоцька. Метро (105),"вул. Городоцька, 300",49.821535,23.918175
4783,0662,Щурата (662),вул. І. Миколайчука (навпроти № 28),49.878770,24.036638
4784,0658,Лікарня швидкої допомоги (658),"вул. І. Миколайчука, 11",49.874907,24.041259
4567,632,Лікарня швидкої допомоги (632),"вул. Гетьмана Івана Мазепи, 25",49.871788,24.039196
4568,638,Орлика (638),"вул. Гетьмана Івана Мазепи, 13",49.870518,24.031278
4569,637,Мазепи (637),"вул. Гетьмана Івана Мазепи, 1",49.869529,24.025372
4570,648,Замарстинів (648),"вул. Замарстинівська, 173",49.870371,24.020558
4771,0142,Левандівська (142),вул. Левандівська 10,49.848406,23.993974
4894,0141,Естонська (141),вул. Левандівська (навпроти №3),49.846887,23.990343
4888,0163,Левандівське озеро (163),вул. Повітряна 2Б,49.846344,23.985198
45014,0729,Озерна (729),"вул. Повітряна, 10-А",49.845989,23.983042
4889,0157,Олесницького (157),вул. Повітряна 20,49.845355,23.978294
4890,0160,Пілотів (160),вул. Повітряна 66,49.844509,23.971905
4839,,Калнишевського (804),"вул. П. Калнишевського, 16",49.848767,23.969612
4795,177,Суботівська (177),"вул. Суботівська, 13",49.847569,23.965532
4796,,Поліклініка №3 (176),"вул. Суботівська, 2",49.844531,23.966610
4797,,Гніздовського (194),"вул. Широка, 79",49.841778,23.968815
4840,756,Протезний завод (756),"вул. Рудненська, 10",49.836806,23.968842
2560947,820,Станція п'ятий парк (820),вул. Курмановича (навпроти №1а),49.834543,23.960060
2560951,822,Колекторна (822),"вул. Курмановича, 9",49.831626,23.955519
2560957,831,Львівтеплоенерго (831),"вул. Данила Апостола, 9",49.830339,23.950281
2560958,832,Сервісний центр МВС (832),"вул. Данила Апостола, 9а",49.830990,23.945421
2560954,825,Львівтеплоенерго (825),"вул. Курмановича, (навпроти 4)",49.829318,23.948790
2560952,823,Колекторна (823),"вул. Курмановича, (навпроти 9)",49.831742,23.955852
2560948,821,Станція П'ятий парк (821),"вул. Курмановича, 1а",49.834810,23.960683
5155,755,Протезний завод (755),вул. Рудненська (навпроти будинку 10 ),49.836676,23.968504
2560945,460,Низинна (460),"вул. Гніздовського, 4",49.839180,23.969561
4828,0175,Гніздовського (175),"вул. Суботівська, 2",49.842376,23.967667
4829,,Поліклініка №3 (178),"вул. Суботівська (вул. Повітряна, 88)",49.845631,23.966734
5152,,Суботівська (182),"вул. Суботівська, 12",49.847963,23.965999
4873,,Калнишевського (805),"вул. Калнишевського, 15",49.848036,23.969743
4891,159,Пілотів (159),вул. Повітряна 65,49.844448,23.971691
4892,0158,Олесницького (158),вул. Повітряна 31,49.845247,23.978187
45015,0730,Бандрівського (730),"вул. Повітряна, 17",49.845861,23.982682
4893,0162,Левандівське озеро (162),вул. Повітряна 1А,49.846248,23.985380
4745,0140,Естонська (140),"вул. Левандівська, 3",49.846839,23.990364
4746,139,Левандівська (139),"вул. Левандівська, 1",49.848437,23.994302
4639,636,Мазепи (636),вул. Гетьмана І. Мазепи,49.869354,24.025018
4640,631,Орлика (631),"вул. Гетьмана І. Мазепи, 23",49.870628,24.032566
